timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2824784,9.9264,0.6608,0.51,-0.0845,0.0296,-0.0051
2824808,9.9359,0.6608,0.5555,-0.0847,0.0288,-0.0056
2824832,9.9311,0.6488,0.5363,-0.0847,0.0293,-0.0051
2824856,9.924,0.6153,0.5124,-0.0834,0.0285,-0.0048
2824880,9.9072,0.6369,0.5459,-0.0839,0.0288,-0.0059
2824904,9.912,0.6752,0.5315,-0.0837,0.0288,-0.0061
2824928,9.9096,0.6512,0.5339,-0.0842,0.0288,-0.0051
2824952,9.9192,0.6273,0.5243,-0.0842,0.029,-0.0048
2824976,9.9359,0.6321,0.5267,-0.085,0.0296,-0.0059
2825000,9.924,0.6416,0.5411,-0.0842,0.0293,-0.0051
2825024,9.9575,0.6416,0.5818,-0.0842,0.0381,-0.0056
2825048,9.9288,0.656,0.5363,-0.0845,0.0336,-0.0059
2825072,9.9096,0.6416,0.5387,-0.0842,0.033,-0.0051
2825096,9.8952,0.6177,0.486,-0.085,0.0229,-0.0048
2825120,9.8881,0.6009,0.5291,-0.0842,0.0445,-0.0064
2825144,9.8689,0.6393,0.5124,-0.0845,0.0602,-0.0064
2825168,9.7851,0.6512,0.4429,-0.0853,0.1404,-0.004
2825192,10.556,-0.2705,0.3759,-0.1687,0.1306,-0.0099
2825216,8.825,0.9218,-0.1269,-0.0645,-0.3211,0.0117
2825240,10.0724,0.7374,0.4381,-0.1434,-0.0059,0.0053
2825264,10.1514,0.7973,0.2274,-0.0373,0.04,0.0088
2825288,9.8833,0.3831,0.5555,-0.0605,0.0317,0.0077
2825312,10.082,0.7949,0.8619,-0.0887,-0.012,-0.0069
2825336,10.4363,0.6871,1.2809,-0.0496,-0.0624,-0.2963
2825360,9.7468,0.9122,0.3903,0.0695,0.0139,-0.5097
2825384,9.5385,0.4908,0.3855,0.0911,0.1607,-0.4964
2825408,10.2185,0.7135,0.7183,-0.0211,0.4159,-0.6387
2825432,10.3549,1.1851,0.5387,-0.0733,0.3978,-0.8633
