timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3055136,9.7588,-0.5626,1.4317,-0.0775,0.0037,-0.0139
3055160,9.6534,-0.4693,1.4078,-0.0839,0.0237,-0.0008
3055184,9.7516,-0.5507,1.4078,-0.0749,0.0357,0.0069
3055208,9.8665,-0.6273,1.415,-0.0778,0.0416,-0.0032
3055232,9.9144,-0.6464,1.4509,-0.0879,0.0274,-0.0157
3055256,9.8378,-0.5578,1.4317,-0.093,0.0248,-0.0232
3055280,9.7612,-0.5171,1.4389,-0.0898,0.0274,-0.0221
3055304,9.7588,-0.5004,1.4605,-0.0901,0.0336,-0.0181
3055328,9.7995,-0.5387,1.4581,-0.0879,0.0312,-0.0165
3055352,9.7588,-0.5698,1.4605,-0.0898,0.04,-0.016
3055376,9.7995,-0.5746,1.4748,-0.0906,0.044,-0.0091
3055400,9.8928,-0.5626,1.5203,-0.0882,0.0362,-0.0077
3055424,9.809,-0.577,1.4653,-0.0909,0.0314,-0.0131
3055448,9.7803,-0.5004,1.4868,-0.0927,0.0354,-0.0099
3055472,9.754,-0.5171,1.4772,-0.0895,0.0386,-0.0027
3055496,9.8043,-0.5148,1.5323,-0.0863,0.0381,0.0053
3055520,9.8426,-0.5195,1.5203,-0.0813,0.036,0.0067
3055544,9.8234,-0.5794,1.4796,-0.0813,0.0322,-0.0027
3055568,9.8402,-0.5698,1.4892,-0.0823,0.0328,-0.0045
3055592,9.845,-0.5315,1.4892,-0.0879,0.0245,0
3055616,9.7229,-0.5267,1.4389,-0.0869,0.029,-0.0048
3055640,9.7492,-0.5411,1.4557,-0.0858,0.045,-0.0067
3055664,9.8378,-0.5698,1.5012,-0.0871,0.0357,0.0016
3055688,9.8186,-0.5267,1.4916,-0.0893,0.0389,-0.0067
3055712,9.8569,-0.5626,1.4964,-0.0802,0.0272,-0.0139
3055736,9.8354,-0.5531,1.4892,-0.0877,0.0285,-0.0131
3055760,9.754,-0.5387,1.4676,-0.0911,0.0266,-0.0085
3055784,9.7444,-0.5171,1.4868,-0.0933,0.0426,-0.0037
3055808,9.7588,-0.5148,1.5179,-0.0853,0.0461,0.0029
3055832,9.8234,-0.5459,1.5179,-0.0829,0.0458,-0.0024
3055856,9.821,-0.5674,1.5538,-0.0775,0.0418,-0.0096
3055880,9.8569,-0.6129,1.5778,-0.0783,0.0296,-0.0077
3055904,9.8114,-0.5746,1.5155,-0.0845,0.0253,-0.0077
3055928,9.7612,-0.5148,1.5347,-0.0813,0.0304,-0.004
3055952,9.7229,-0.5028,1.47,-0.0829,0.0421,0.0043
3055976,9.8761,-0.5171,1.5586,-0.0754,0.0352,0.0048
3056000,9.8426,-0.6057,1.4557,-0.0746,0.0234,-0.0027
3056024,9.742,-0.6249,1.4437,-0.0845,0.0349,-0.0117
3056048,9.7947,-0.5124,1.5227,-0.0946,0.0458,-0.0019
3056072,9.821,-0.4573,1.5203,-0.0842,0.0325,0
3056096,9.845,-0.5818,1.5275,-0.0757,0.0277,-0.0144
3056120,9.7899,-0.5698,1.506,-0.0847,0.0282,-0.0133
3056144,9.7659,-0.5507,1.47,-0.0861,0.0288,-0.0037
3056168,9.7875,-0.5435,1.4868,-0.0882,0.0392,-0.0032
3056192,9.8138,-0.4956,1.5562,-0.0885,0.0381,-0.0024
3056216,9.809,-0.5435,1.4964,-0.0847,0.0296,-0.0053
3056240,9.8593,-0.5148,1.5682,-0.081,0.028,-0.0061
3056264,9.7923,-0.5962,1.494,-0.081,0.0163,-0.0045
3056288,9.754,-0.5722,1.4844,-0.0869,0.0325,-0.0093
3056312,9.7252,-0.5578,1.4629,-0.0903,0.0389,0.0011
3056336,9.8569,-0.4525,1.5874,-0.0877,0.0325,0.0077
3056360,9.8067,-0.5315,1.5036,-0.0794,0.0211,-0.0024
3056384,9.8138,-0.5794,1.4892,-0.0807,0.0237,-0.0099
3056408,9.7061,-0.6033,1.4174,-0.089,0.0306,-0.0027
3056432,9.7612,-0.5746,1.5036,-0.0914,0.0493,-0.0011
3056456,9.9072,-0.5148,1.5682,-0.0874,0.0432,-0.0019
3056480,9.8665,-0.5291,1.5706,-0.0871,0.0317,-0.0104
3056504,9.8162,-0.5052,1.5299,-0.0783,0.0234,-0.0141
3056528,9.7013,-0.589,1.4892,-0.081,0.0301,-0.0101
3056552,9.7707,-0.6009,1.5107,-0.0863,0.0421,-0.0024
3056576,9.845,-0.5722,1.5467,-0.0981,0.0461,-0.0016
3056600,9.8665,-0.4477,1.6185,-0.0863,0.0344,-0.0091
3056624,9.7923,-0.5195,1.5802,-0.0717,0.0226,-0.0163
3056648,9.754,-0.5962,1.5155,-0.0698,0.0304,-0.012
3056672,9.8019,-0.6153,1.5275,-0.0802,0.0362,0.0011
3056696,9.8043,-0.5698,1.5203,-0.0885,0.033,0.0029
3056720,9.8426,-0.5076,1.573,-0.0842,0.0365,-0.004
3056744,9.8114,-0.5171,1.585,-0.0791,0.0211,-0.0024
3056768,9.7157,-0.5674,1.5083,-0.0778,0.0264,-0.0035
3056792,9.7899,-0.6081,1.5083,-0.0783,0.037,-0.0021
3056816,9.8593,-0.5962,1.5778,-0.0855,0.0288,0.0035
3056840,9.7707,-0.5411,1.4389,-0.0885,0.0352,-0.0077
3056864,9.8426,-0.5291,1.5395,-0.081,0.0277,-0.0077
3056888,9.7827,-0.5387,1.5514,-0.0834,0.0264,-0.0069
3056912,9.7324,-0.5746,1.4964,-0.081,0.0357,-0.0096
3056936,9.8641,-0.5698,1.5874,-0.0821,0.0341,-0.0043
3056960,9.7444,-0.6321,1.4844,-0.0871,0.033,-0.0104
3056984,9.821,-0.5411,1.5826,-0.0877,0.0408,-0.0104
3057008,9.7636,-0.51,1.561,-0.0959,0.0336,0.0024
3057032,9.7659,-0.4812,1.5443,-0.0837,0.04,-0.0027
3057056,9.809,-0.5531,1.5347,-0.0826,0.0437,-0.0035
3057080,9.9,-0.5602,1.6137,-0.0805,0.0232,-0.0003
3057104,9.7707,-0.6249,1.494,-0.0821,0.0237,-0.0104
3057128,9.7276,-0.5626,1.5083,-0.0879,0.0365,-0.0045
3057152,9.8019,-0.5171,1.5682,-0.0837,0.033,0.0088
3057176,9.8497,-0.5459,1.5538,-0.0781,0.0317,-0.0003
3057200,9.8282,-0.5866,1.5443,-0.0826,0.024,-0.0096
3057224,9.7564,-0.5483,1.5347,-0.0874,0.0216,-0.0061
3057248,9.7372,-0.5243,1.4964,-0.0786,0.033,-0.0048
3057272,9.8186,-0.5842,1.5251,-0.0858,0.0381,-0.0016
3057296,9.8354,-0.5555,1.5993,-0.0893,0.0285,-0.0008
3057320,9.7971,-0.5411,1.561,-0.0826,0.0272,-0.0117
3057344,9.754,-0.6105,1.5251,-0.0845,0.0306,-0.0117
3057368,9.7372,-0.5363,1.5179,-0.0909,0.0408,0.0005
3057392,9.7875,-0.5578,1.585,-0.0903,0.0458,-0.0005
3057416,9.8282,-0.5315,1.5802,-0.0853,0.0349,-0.0013
3057440,9.8354,-0.5578,1.6137,-0.0783,0.0272,-0.0069
3057464,9.7636,-0.6105,1.5251,-0.0802,0.0179,-0.008
3057488,9.7444,-0.5866,1.4748,-0.0909,0.0309,-0.0061
3057512,9.7372,-0.5363,1.5083,-0.0919,0.0432,-0.0037
3057536,9.8354,-0.5076,1.6017,-0.0834,0.037,-0.0032
3057560,9.8569,-0.5626,1.664,-0.0751,0.0266,-0.0064
3057584,9.7875,-0.6369,1.5802,-0.0802,0.0237,-0.0104
3057608,9.7492,-0.5722,1.5323,-0.0834,0.0272,-0.0072
3057632,9.7779,-0.5243,1.5634,-0.081,0.0285,0.0013
3057656,9.7564,-0.5842,1.5251,-0.0834,0.0349,0.0029
3057680,9.754,-0.589,1.5203,-0.0893,0.0461,0.0029
3057704,9.8881,-0.5339,1.5969,-0.0882,0.0392,0.0035
3057728,9.8737,-0.5626,1.6185,-0.0794,0.0218,-0.0133
3057752,9.7827,-0.5602,1.5754,-0.0823,0.0173,-0.02
3057776,9.7085,-0.5363,1.5395,-0.0861,0.0181,-0.0051
3057800,9.6917,-0.5435,1.5155,-0.0861,0.036,-0.004
3057824,9.8378,-0.5698,1.5921,-0.0823,0.0434,-0.0011
3057848,9.8569,-0.565,1.5754,-0.0863,0.0304,-0.0027
3057872,9.8043,-0.5938,1.5514,-0.0845,0.0288,-0.0152
3057896,9.7731,-0.5626,1.5802,-0.0874,0.0309,-0.0125
3057920,9.7372,-0.5291,1.5395,-0.0917,0.0341,0.0003
3057944,9.7995,-0.5339,1.5778,-0.0866,0.0408,0
3057968,9.8809,-0.5339,1.6185,-0.0837,0.0338,-0.0037
3057992,9.8043,-0.5866,1.5802,-0.0831,0.0205,-0.0083
3058016,9.7157,-0.6033,1.5227,-0.0869,0.0325,-0.0131
3058040,9.7755,-0.577,1.5993,-0.0869,0.0384,0.0019
3058064,9.8138,-0.5507,1.5993,-0.0877,0.0373,0.0027
3058088,9.8258,-0.5626,1.5897,-0.081,0.0306,-0.0093
3058112,9.7995,-0.5578,1.5778,-0.0837,0.0229,-0.0107
3058136,9.754,-0.5435,1.5275,-0.0853,0.0296,-0.0067
3058160,9.7923,-0.5315,1.5658,-0.0823,0.0344,-0.0056
3058184,9.8186,-0.5722,1.5754,-0.0815,0.0256,-0.0024
3058208,9.7564,-0.6153,1.5227,-0.085,0.0312,-0.0104
3058232,9.8043,-0.5578,1.5706,-0.0869,0.0346,-0.0096
3058256,9.7707,-0.5339,1.5562,-0.0877,0.0277,-0.0059
3058280,9.7683,-0.5124,1.6185,-0.0805,0.0341,-0.0085
3058304,9.833,-0.5866,1.5826,-0.0789,0.0237,-0.0072
3058328,9.7755,-0.5746,1.5347,-0.0855,0.0232,-0.0091
3058352,9.7492,-0.5195,1.5467,-0.0831,0.0314,-0.0099
3058376,9.7971,-0.577,1.6065,-0.0807,0.032,-0.004
3058400,9.7444,-0.5962,1.5562,-0.0829,0.0328,-0.0013
3058424,9.8354,-0.5698,1.5754,-0.0845,0.0349,-0.0043
3058448,9.7947,-0.5411,1.5514,-0.0898,0.0288,-0.0045
3058472,9.7588,-0.51,1.5706,-0.089,0.0338,-0.0096
