timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,9.9,0.3879,0.4669,-0.0839,-0.0357,-0.0072
20,10.0485,0.3591,0.565,-0.0837,-0.0136,-0.0051
40,9.6486,0.328,0.1772,-0.0885,-0.0959,0.0043
60,9.9671,0.3472,0.4334,-0.0874,-0.0464,0.0179
80,9.2512,0.2801,0.0479,-0.0826,0.0498,-0.0131
100,10.1658,0.3591,0.5866,-0.0821,0.308,-0.0093
120,10.149,0.3256,0.6393,-0.0837,0.1684,-0.0029
140,10.2065,0.3543,0.7614,-0.0837,-0.0663,-0.0083
160,9.9264,0.328,0.4693,-0.0834,-0.1804,-0.0085
180,9.5768,0.3543,0.1269,-0.0823,0.0661,-0.0061
200,10.0245,0.3663,0.5507,-0.0831,0.1324,-0.0029
220,10.1394,0.3615,0.6249,-0.0829,0.0083,-0.0056
240,9.9719,0.3424,0.4621,-0.0837,-0.0967,-0.008
260,9.9838,0.3304,0.4741,-0.0821,0.0477,-0.0053
280,9.6917,0.3376,0.2035,-0.0831,0.0845,-0.0029
300,10.0628,0.3543,0.5842,-0.0831,0.1655,-0.0021
320,10.1035,0.3615,0.6297,-0.0831,0.0104,-0.0053
340,9.7923,0.3639,0.3567,-0.0826,0.0274,-0.0056
360,9.8713,0.3496,0.4645,-0.0826,0.1223,-0.0029
380,9.8641,0.3184,0.4334,-0.0826,0.149,-0.0043
400,9.8258,0.3855,0.4022,-0.0741,0.2793,-0.0021
420,10.1825,0.5842,0.3974,0.0554,0.2678,0.0059
440,10.0269,0.237,1.0247,0.0829,0.1236,0.0048
460,9.8713,0.4573,0.7542,-0.0053,0.0466,-0.0072
480,9.9383,0.6632,0.3591,0.044,0.1524,-0.0957
500,9.7683,0.2442,0.2442,0.0893,0.4487,-0.4551
520,10.5034,0.644,0.9194,0.1194,0.559,-0.6995
540,10.2663,0.7973,1.3455,0.1769,0.3659,-1.0552
560,10.6518,0.7614,1.5012,0.2121,0.2073,-1.4746
580,12.038,1.7765,1.7047,0.1354,0.0378,-1.537
600,11.8896,1.7837,1.1085,-0.0173,0.2009,-0.6616
620,11.1163,1.9609,0.8571,-0.0203,0.4098,-0.2579
640,10.3645,2.4517,0.905,0.1226,0.045,-0.3762
660,9.2488,2.6073,0.7805,0.4565,-0.259,-0.7418
680,9.3757,1.0702,0.8595,0.4996,-0.3216,-1.1205
700,10.0269,0.905,1.9225,0.2782,-0.2494,-1.3246
720,10.331,2.1668,1.506,-0.0221,-0.1111,-0.8583
740,10.6279,2.6552,0.3256,-0.1196,-0.2236,-0.4887
760,9.4739,3.0287,-0.182,0.0093,-0.1543,-0.2675
780,8.1187,3.1819,0.34,0.2771,0.0288,-0.498
800,7.9057,2.8156,0.905,0.2108,0.3331,-0.9896
820,8.9926,3.1675,0.8475,0.19,0.3235,-1.3102
840,9.7229,3.644,0.9457,0.1204,0.0805,-1.3835
860,9.1937,4.1084,0.6632,0.0805,0.0917,-1.2572
880,9.4547,4.6256,1.2306,0.0925,0.1551,-1.2502
900,9.1842,5.047,0.6728,0.1721,0.0027,-0.9641
920,8.983,5.3678,0.9936,0.1498,-0.0282,-0.7354
940,8.7221,5.217,1.5347,0.0935,-0.1697,-0.5982
960,8.351,5.0901,1.0367,-0.064,-0.287,-0.6073
980,7.7237,4.8483,0.4405,-0.1977,-0.085,-0.534
1000,7.3574,4.6017,0.2897,-0.3024,0.129,-0.4351
1020,6.5745,4.6591,0.3974,-0.4708,0.1498,-0.4687
1040,6.3111,4.8171,-0.3998,-0.733,0.4143,-0.8231
1060,7.7309,5.7197,0.1389,-0.7735,0.5167,-1.1095
1080,8.0565,5.8442,0.7973,-0.6984,0.4122,-1.0405
1100,8.4659,5.9999,1.403,-0.7104,0.2446,-0.9619
1120,8.3031,5.9089,1.3024,-0.6755,0.0338,-0.8692
1140,7.9009,6.8115,1.3024,-0.7501,-0.0264,-0.6635
1160,6.8402,6.5793,1.0846,-0.8916,0.1138,-0.392
1180,8.4874,5.9831,1.64,-0.9923,-0.0043,-0.324
1200,7.1443,5.8682,1.9632,-0.9622,-0.3533,-0.3616
1220,6.675,5.3127,1.8699,-1.2676,-0.2912,-0.3845
1240,7.501,6.8785,1.008,-1.1095,-0.2707,-0.3421
1260,7.0485,5.8873,2.0063,-0.7855,-0.1143,0.1322
1280,6.4476,5.4181,2.4205,-0.6891,-0.1572,0.3158
1300,6.8714,6.3351,2.2386,-0.162,-0.8127,0.1724
1320,7.0605,5.8514,3.237,1.0019,-2.1474,0.4618
1340,7.3334,6.5553,2.0327,2.3926,-3.4448,0.4519
1360,2.648,0.5052,-5.5617,2.3278,-2.5186,-1.6779
1380,8.3749,9.1842,-0.3017,-0.0789,0.7312,-2.3291
1400,9.0166,9.4667,0.0838,-0.15,1.9657,1.028
1420,8.9495,5.8299,2.4612,-0.3293,1.6012,2.0286
1440,7.4867,4.6352,1.9393,-0.5089,0.1319,1.2835
1460,6.2608,5.4564,0.4453,-0.146,-0.8356,0.2577
1480,6.8354,6.043,0.1987,0.0434,-0.9577,-0.2481
1500,8.4659,7.1515,0.0622,-0.2782,1.3344,0.7837
1520,7.2784,4.5873,1.4964,-0.462,0.7386,0.6987
1540,8.1475,6.2656,0.6249,-0.3477,1.1215,-0.028
1560,8.5377,5.8658,1.4102,-0.3778,0.8399,-0.1268
1580,8.2169,6.1579,0.9864,-0.6462,0.7631,0.1287
1600,7.4627,5.7557,1.4653,-0.7186,0.6819,0.0813
1620,7.5824,5.5857,1.6041,-0.704,0.6638,0.0101
1640,6.8307,5.4324,1.7262,-0.5652,0.74,-0.1332
1660,8.6263,6.1028,2.5211,-0.6336,0.9078,0.0421
1680,9.7947,5.715,3.5075,-0.5979,0.3872,0.534
1700,8.1954,5.454,2.818,-0.5577,-0.0458,0.3794
1720,9.6702,5.5091,3.553,-0.5049,-0.0693,0.1993
1740,6.5553,5.7317,1.7238,-0.4309,-0.3667,0.582
1760,6.9791,4.7142,2.5881,-0.4831,0.1639,0.413
1780,9.9455,5.7461,3.6943,-0.486,-0.0085,0.6387
1800,10.6973,5.4324,3.7709,-0.5169,-0.7008,1.4847
1820,6.2991,3.5267,1.8196,-0.6006,-0.7576,1.3659
1840,7.5609,4.8914,2.0111,-0.5079,-0.1623,0.8202
1860,8.7867,4.525,2.5355,-0.3094,-0.2902,0.93
1880,8.6335,3.7757,2.308,-0.199,-0.2297,0.6781
1900,10.2424,4.4197,2.818,-0.0759,-0.3914,0.6011
1920,7.829,3.8355,1.8124,0.1053,-0.4834,1.1189
1940,7.2137,1.889,1.0391,0.0109,0.045,0.8713
1960,9.5337,3.3567,2.1141,-0.0197,0.2563,0.1863
1980,9.8497,3.2848,2.308,-0.0341,-0.0424,0.3427
