timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,8.6167,-0.2322,1.4054,-0.3392,-0.0437,-0.9406
20,5.2337,0.8523,-0.498,-0.5015,0.9371,-1.1684
40,3.6416,-0.3376,-3.0406,-0.9665,1.6803,-0.8066
60,-5.7197,-0.2705,-8.2001,-1.0083,2.5053,0.016
80,0.8428,0.5363,5.8179,-0.5692,6.1377,1.0235
100,16.6062,0.8882,20.9301,-0.7338,5.5192,0.9785
120,29.997,7.4699,23.2525,-0.2289,1.9556,-0.182
140,28.333,5.5545,21.8112,1.5284,-3.1325,-0.9438
160,8.8083,-5.3199,9.8809,2.0646,-6.009,-1.8434
180,-14.619,-8.8442,-10.1897,1.0973,-4.6143,-2.3744
200,-12.5672,0.0838,-11.5281,-0.8354,1.9806,0.1737
220,5.5665,4.0725,9.0309,-2.1925,5.1036,2.2599
240,18.8615,3.3806,12.5528,-1.2049,2.4344,1.0845
260,17.5519,5.9831,10.4339,0.9209,-0.4762,-0.2878
280,16.4051,3.1388,11.2025,1.0589,-2.0462,0.158
300,5.7485,-7.1323,5.6048,0.4189,-3.5098,0.1785
320,-8.9567,-8.7245,-6.5577,0.0573,-3.4315,-1.715
340,-10.9846,3.7828,-8.9878,-0.5729,1.5495,-1.0627
360,11.8537,10.1131,11.0445,-1.6574,5.766,2.294
380,23.8654,2.9712,16.4099,-1.5913,2.8048,2.3702
400,20.7075,-0.2969,12.2703,0.6643,-1.0325,-0.1268
420,14.7507,0.9433,10.4076,1.2308,-3.1003,-0.9864
440,6.4572,-0.917,5.4085,0.4104,-3.4965,-0.2337
460,1.3982,-1.7095,1.1444,-0.4812,-2.4656,-0.2803
480,2.8706,1.6376,-1.2977,-0.6041,-0.631,-0.4652
500,6.0023,4.4293,0.4501,-0.4642,0.6225,-0.1085
520,8.4276,3.9361,2.0662,-0.1679,1.0134,0.2244
540,9.7061,1.5107,4.3311,0.1796,0.7738,0.2675
560,9.4906,0.5171,4.7453,0.2915,0.1905,0.0719
580,8.8011,0.4238,4.1946,0.1825,-0.0242,0.1087
600,8.3582,0.5004,3.6966,-0.0613,-0.1042,0.2305
620,7.8961,0.7805,3.1699,-0.2364,-0.0341,0.3003
640,7.7692,1.221,2.5307,-0.2105,0.1324,0.2491
660,8.5832,1.9609,2.7677,-0.0757,0.3616,0.2046
680,9.4188,1.9872,3.6129,-0.0376,0.497,0.4202
700,9.4906,1.798,3.9816,0.0285,0.4679,0.5297
720,9.9192,1.0989,4.4987,0.2633,0.3744,0.4868
740,9.9862,0.1006,5.2122,0.2513,0.2457,0.3696
760,9.8521,-0.1532,5.047,0.0274,0.1172,0.2867
780,9.5241,-0.2346,4.3024,-0.1839,0.146,0.2864
800,9.7276,0.0431,4.2042,-0.1721,0.1466,0.1559
820,9.6438,0.6009,4.2353,-0.0906,0.0011,0.0157
840,9.3158,0.7829,4.0773,-0.0237,-0.0719,-0.0051
860,9.3039,0.6536,4.2904,-0.0464,-0.064,0.0482
880,9.1913,0.2322,4.4005,-0.1375,-0.0682,0.0922
900,9.177,0.2083,4.4532,-0.3182,-0.0879,0.1266
920,8.9256,0.407,4.1707,-0.466,-0.1015,0.1452
940,8.825,0.7326,3.6224,-0.3698,-0.0584,0.1194
960,8.588,0.51,3.4189,-0.1919,0.057,0.0887
980,8.6526,0.2634,3.5937,-0.0277,0.1154,0.0221
1000,9.0716,0.5028,4.0318,-0.0048,0.1466,0.0288
1020,9.2943,0.2921,4.2689,-0.0989,0.1442,0.0874
1040,9.3805,0.4597,4.1587,-0.1498,0.0973,0.0847
1060,9.335,0.4334,4.1084,-0.1186,0.0711,0.0581
1080,9.4499,0.4214,4.1946,-0.13,0.052,0.0829
1100,9.1602,0.5076,4.142,-0.1391,0.0035,0.0906
1120,8.928,0.1891,3.9504,-0.0586,-0.0205,0.0266
1140,8.9495,0.3041,4.0103,-0.0184,0.0096,-0.0344
1160,8.9376,0.3352,3.9672,-0.049,0.0482,0.0109
1180,9.0716,0.17,4.0701,-0.057,0.1061,0.0376
1200,9.2943,0.0862,4.2689,-0.041,0.0754,-0.0312
1220,9.2153,0.1676,4.2856,-0.0426,0.0171,-0.0165
