timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
195336,9.9000,0.3879,0.4669,-0.0839,-0.0357,-0.0072,normal
195360,10.0485,0.3591,0.5650,-0.0837,-0.0136,-0.0051,normal
195384,9.6486,0.3280,0.1772,-0.0885,-0.0959,0.0043,normal
195408,9.9671,0.3472,0.4334,-0.0874,-0.0464,0.0179,normal
195432,9.2512,0.2801,0.0479,-0.0826,0.0498,-0.0131,normal
195456,10.1658,0.3591,0.5866,-0.0821,0.3080,-0.0093,normal
195480,10.1490,0.3256,0.6393,-0.0837,0.1684,-0.0029,normal
195504,10.2065,0.3543,0.7614,-0.0837,-0.0663,-0.0083,normal
195528,9.9264,0.3280,0.4693,-0.0834,-0.1804,-0.0085,normal
195552,9.5768,0.3543,0.1269,-0.0823,0.0661,-0.0061,normal
195576,10.0245,0.3663,0.5507,-0.0831,0.1324,-0.0029,normal
195600,10.1394,0.3615,0.6249,-0.0829,0.0083,-0.0056,normal
195624,9.9719,0.3424,0.4621,-0.0837,-0.0967,-0.0080,normal
195648,9.9838,0.3304,0.4741,-0.0821,0.0477,-0.0053,normal
195672,9.6917,0.3376,0.2035,-0.0831,0.0845,-0.0029,normal
195696,10.0628,0.3543,0.5842,-0.0831,0.1655,-0.0021,normal
195720,10.1035,0.3615,0.6297,-0.0831,0.0104,-0.0053,normal
195744,9.7923,0.3639,0.3567,-0.0826,0.0274,-0.0056,normal
195768,9.8713,0.3496,0.4645,-0.0826,0.1223,-0.0029,normal
195792,9.8641,0.3184,0.4334,-0.0826,0.1490,-0.0043,normal
195816,9.8258,0.3855,0.4022,-0.0741,0.2793,-0.0021,normal
195840,10.1825,0.5842,0.3974,0.0554,0.2678,0.0059,normal
195864,10.0269,0.2370,1.0247,0.0829,0.1236,0.0048,normal
195888,9.8713,0.4573,0.7542,-0.0053,0.0466,-0.0072,normal
195912,9.9383,0.6632,0.3591,0.0440,0.1524,-0.0957,normal
195936,9.7683,0.2442,0.2442,0.0893,0.4487,-0.4551,normal
195960,10.5034,0.6440,0.9194,0.1194,0.5590,-0.6995,normal
195984,10.2663,0.7973,1.3455,0.1769,0.3659,-1.0552,normal
196008,10.6518,0.7614,1.5012,0.2121,0.2073,-1.4746,normal
196032,12.0380,1.7765,1.7047,0.1354,0.0378,-1.5370,normal
196056,11.8896,1.7837,1.1085,-0.0173,0.2009,-0.6616,normal
196080,11.1163,1.9609,0.8571,-0.0203,0.4098,-0.2579,normal
196104,10.3645,2.4517,0.9050,0.1226,0.0450,-0.3762,normal
196128,9.2488,2.6073,0.7805,0.4565,-0.2590,-0.7418,normal
196152,9.3757,1.0702,0.8595,0.4996,-0.3216,-1.1205,normal
196176,10.0269,0.9050,1.9225,0.2782,-0.2494,-1.3246,normal
196200,10.3310,2.1668,1.5060,-0.0221,-0.1111,-0.8583,normal
196224,10.6279,2.6552,0.3256,-0.1196,-0.2236,-0.4887,normal
196248,9.4739,3.0287,-0.1820,0.0093,-0.1543,-0.2675,normal
196272,8.1187,3.1819,0.3400,0.2771,0.0288,-0.4980,normal
196296,7.9057,2.8156,0.9050,0.2108,0.3331,-0.9896,normal
196320,8.9926,3.1675,0.8475,0.1900,0.3235,-1.3102,normal
196344,9.7229,3.6440,0.9457,0.1204,0.0805,-1.3835,normal
196368,9.1937,4.1084,0.6632,0.0805,0.0917,-1.2572,normal
196392,9.4547,4.6256,1.2306,0.0925,0.1551,-1.2502,normal
196416,9.1842,5.0470,0.6728,0.1721,0.0027,-0.9641,normal
196440,8.9830,5.3678,0.9936,0.1498,-0.0282,-0.7354,normal
196464,8.7221,5.2170,1.5347,0.0935,-0.1697,-0.5982,normal
196488,8.3510,5.0901,1.0367,-0.0640,-0.2870,-0.6073,normal
196512,7.7237,4.8483,0.4405,-0.1977,-0.0850,-0.5340,normal
196536,7.3574,4.6017,0.2897,-0.3024,0.1290,-0.4351,normal
196560,6.5745,4.6591,0.3974,-0.4708,0.1498,-0.4687,normal
196584,6.3111,4.8171,-0.3998,-0.7330,0.4143,-0.8231,normal
196608,7.7309,5.7197,0.1389,-0.7735,0.5167,-1.1095,normal
196632,8.0565,5.8442,0.7973,-0.6984,0.4122,-1.0405,normal
196656,8.4659,5.9999,1.4030,-0.7104,0.2446,-0.9619,normal
196680,8.3031,5.9089,1.3024,-0.6755,0.0338,-0.8692,normal
196704,7.9009,6.8115,1.3024,-0.7501,-0.0264,-0.6635,normal
196728,6.8402,6.5793,1.0846,-0.8916,0.1138,-0.3920,normal
196752,8.4874,5.9831,1.6400,-0.9923,-0.0043,-0.3240,normal
196776,7.1443,5.8682,1.9632,-0.9622,-0.3533,-0.3616,normal
196800,6.6750,5.3127,1.8699,-1.2676,-0.2912,-0.3845,normal
196824,7.5010,6.8785,1.0080,-1.1095,-0.2707,-0.3421,normal
196848,7.0485,5.8873,2.0063,-0.7855,-0.1143,0.1322,normal
196872,6.4476,5.4181,2.4205,-0.6891,-0.1572,0.3158,normal
196896,6.8714,6.3351,2.2386,-0.1620,-0.8127,0.1724,normal
196920,7.0605,5.8514,3.2370,1.0019,-2.1474,0.4618,normal
196944,7.3334,6.5553,2.0327,2.3926,-3.4448,0.4519,normal
196968,2.6480,0.5052,-5.5617,2.3278,-2.5186,-1.6779,normal
196992,8.3749,9.1842,-0.3017,-0.0789,0.7312,-2.3291,normal
197016,9.0166,9.4667,0.0838,-0.1500,1.9657,1.0280,normal
197040,8.9495,5.8299,2.4612,-0.3293,1.6012,2.0286,normal
197064,7.4867,4.6352,1.9393,-0.5089,0.1319,1.2835,normal
197088,6.2608,5.4564,0.4453,-0.1460,-0.8356,0.2577,normal
197112,6.8354,6.0430,0.1987,0.0434,-0.9577,-0.2481,normal
197136,8.4659,7.1515,0.0622,-0.2782,1.3344,0.7837,normal
197160,7.2784,4.5873,1.4964,-0.4620,0.7386,0.6987,normal
197184,8.1475,6.2656,0.6249,-0.3477,1.1215,-0.0280,normal
197208,8.5377,5.8658,1.4102,-0.3778,0.8399,-0.1268,normal
197232,8.2169,6.1579,0.9864,-0.6462,0.7631,0.1287,normal
197256,7.4627,5.7557,1.4653,-0.7186,0.6819,0.0813,normal
197280,7.5824,5.5857,1.6041,-0.7040,0.6638,0.0101,normal
197304,6.8307,5.4324,1.7262,-0.5652,0.7400,-0.1332,normal
197328,8.6263,6.1028,2.5211,-0.6336,0.9078,0.0421,normal
197352,9.7947,5.7150,3.5075,-0.5979,0.3872,0.5340,normal
197376,8.1954,5.4540,2.8180,-0.5577,-0.0458,0.3794,normal
197400,9.6702,5.5091,3.5530,-0.5049,-0.0693,0.1993,normal
197424,6.5553,5.7317,1.7238,-0.4309,-0.3667,0.5820,normal
197448,6.9791,4.7142,2.5881,-0.4831,0.1639,0.4130,normal
197472,9.9455,5.7461,3.6943,-0.4860,-0.0085,0.6387,normal
197496,10.6973,5.4324,3.7709,-0.5169,-0.7008,1.4847,normal
197520,6.2991,3.5267,1.8196,-0.6006,-0.7576,1.3659,normal
197544,7.5609,4.8914,2.0111,-0.5079,-0.1623,0.8202,normal
197568,8.7867,4.5250,2.5355,-0.3094,-0.2902,0.9300,normal
197592,8.6335,3.7757,2.3080,-0.1990,-0.2297,0.6781,normal
197616,10.2424,4.4197,2.8180,-0.0759,-0.3914,0.6011,normal
197640,7.8290,3.8355,1.8124,0.1053,-0.4834,1.1189,normal
197664,7.2137,1.8890,1.0391,0.0109,0.0450,0.8713,normal
197688,9.5337,3.3567,2.1141,-0.0197,0.2563,0.1863,normal
197712,9.8497,3.2848,2.3080,-0.0341,-0.0424,0.3427,normal
197736,8.0493,2.4110,1.6807,-0.0274,0.0618,0.1348,normal
197760,9.6726,3.0933,2.1261,-0.1228,0.2689,0.1255,normal
197784,10.2256,3.3279,2.3224,-0.1908,0.1132,0.4418,normal
197808,9.7181,2.9592,2.3703,-0.1980,-0.1175,0.4517,normal
197832,8.7915,2.7701,2.6432,-0.1958,-0.0384,0.3008,normal
197856,9.8234,2.9185,2.7126,-0.1817,0.0429,0.2843,normal
197880,9.5217,2.9664,2.1691,-0.1274,-0.1183,0.1271,normal
197904,9.1602,2.8252,1.9968,-0.1127,-0.1703,0.0325,normal
197928,9.4020,2.4972,2.0590,-0.1290,-0.2571,0.0866,normal
197952,8.4348,2.6887,1.5658,-0.1881,-0.0794,0.1431,normal
197976,9.1746,2.9760,1.9058,-0.1535,0.1647,0.1945,normal
198000,10.1131,2.6624,2.2673,-0.0671,0.0930,0.0882,normal
198024,9.7851,2.3583,2.2936,-0.0962,-0.0149,0.0837,normal
198048,9.4451,2.6624,2.1189,-0.1378,0.0426,0.0946,normal
198072,9.1842,2.4756,2.2146,-0.1005,0.0690,0.0890,normal
198096,9.2392,2.4732,2.2003,-0.0512,0.1370,0.0711,normal
198120,9.0980,2.4421,2.2913,-0.0807,0.1974,0.1063,normal
198144,9.1147,2.6145,2.0949,-0.0528,0.2300,0.1362,normal
198168,9.1099,2.5738,2.0758,-0.0722,0.2523,0.1138,normal
198192,9.5074,2.8467,2.4157,-0.0943,0.2401,0.1356,normal
198216,9.9671,2.6839,2.6169,-0.0578,0.1956,0.1990,normal
198240,10.1466,2.0925,2.7366,-0.0610,0.0959,0.2742,normal
198264,9.8881,2.0614,2.4900,-0.0858,0.0298,0.2134,normal
198288,9.8354,2.2529,2.3798,-0.0706,-0.0450,0.1220,normal
198312,9.3589,2.2458,2.1811,-0.0309,-0.0218,0.1045,normal
198336,9.7564,2.1021,2.1668,-0.0213,0.0237,0.1831,normal
198360,9.9311,1.8866,2.2649,-0.0354,-0.0336,0.2364,normal
198384,10.0006,1.9345,2.3583,-0.0474,-0.1021,0.1857,normal
198408,9.9910,2.0423,2.2793,-0.0128,-0.1647,0.1442,normal
198432,9.3613,1.6640,1.8651,0.0176,-0.1887,0.0957,normal
198456,9.7252,1.9944,1.8531,-0.0045,-0.1061,0.0767,normal
198480,10.2424,1.8483,2.0470,0.0149,-0.2113,0.1239,normal
198504,9.6103,1.6879,2.1284,-0.0147,-0.3925,0.0469,normal
198528,8.8992,2.3798,1.5227,-0.0831,-0.2094,0.2177,normal
198552,9.1674,1.9441,1.7382,-0.0706,-0.1228,0.3376,normal
198576,9.0381,1.5131,1.9968,-0.0261,-0.2817,0.0807,normal
198600,8.6503,1.9896,1.7573,-0.0608,-0.2809,-0.0389,normal
198624,8.9328,2.3703,1.6688,-0.0927,-0.0791,0.1029,normal
198648,8.7771,2.2410,1.3791,-0.0927,0.2294,0.1535,normal
198672,10.3022,1.9680,2.1284,-0.0661,0.3845,0.0589,normal
198696,10.6518,1.7980,2.3870,-0.0640,0.1927,-0.0256,normal
198720,9.8976,1.5586,1.9728,-0.0482,0.0085,-0.0863,normal
198744,9.2512,1.7119,1.5347,-0.0592,0.0141,-0.1559,normal
198768,9.0764,1.8842,1.4988,-0.0661,0.1268,-0.0997,normal
198792,9.4667,2.0758,1.7789,-0.0237,0.2180,-0.1132,normal
198816,9.9671,1.4892,2.1308,-0.0224,0.1591,0.0642,normal
198840,9.2440,1.5012,1.8124,-0.0754,0.0203,0.0773,normal
198864,8.9471,1.9561,1.4629,-0.0565,0.0983,0.1223,normal
198888,9.5098,1.7454,1.6281,-0.0304,0.2030,0.1591,normal
198912,10.2017,1.3479,1.9632,-0.0314,0.1969,0.1423,normal
198936,10.6566,1.4724,2.2649,-0.0530,0.1010,0.1399,normal
198960,10.1801,1.4940,2.1524,-0.0661,0.0123,0.1545,normal
198984,9.7396,1.6735,2.0470,-0.0568,0.0101,0.1252,normal
199008,9.8186,1.8028,2.0279,-0.0695,0.0077,0.1503,normal
199032,9.7229,1.6568,2.1955,-0.0807,-0.0059,0.2004,normal
199056,9.7875,1.3527,2.2817,-0.1116,0.0104,0.2030,normal
199080,9.7300,1.5299,2.1141,-0.1823,0.0624,0.1807,normal
199104,9.9335,1.9585,2.0279,-0.2262,0.0797,0.1543,normal
199128,9.3972,1.6424,1.8483,-0.1708,0.0847,-0.0109,normal
199152,9.1099,1.7406,1.9034,-0.1367,0.1940,-0.2380,normal
199176,9.3829,1.9178,1.9944,-0.1260,0.2062,-0.2060,normal
199200,9.4715,1.8316,1.9704,-0.1183,0.2233,-0.1463,normal
199224,9.3541,1.4413,2.2003,-0.0418,0.2086,-0.1492,normal
199248,9.4188,1.1995,2.2553,-0.0131,0.2563,-0.0557,normal
199272,9.9958,1.2929,2.5043,-0.0397,0.2507,0.0648,normal
199296,10.1083,1.1540,2.6528,-0.0333,0.1138,0.1452,normal
199320,9.7157,1.0942,2.4325,0.0149,-0.0035,0.1777,normal
199344,9.3087,1.0989,2.2003,0.0176,0.0426,0.1903,normal
199368,9.5002,1.1301,2.3750,0.0397,0.0831,0.1250,normal
199392,9.8258,1.3503,2.4134,-0.0368,0.1458,0.2022,normal
199416,9.8593,1.7358,2.5714,-0.1098,0.0943,0.2832,normal
199440,9.3589,1.8459,2.3439,-0.0885,0.0525,0.1847,normal
199464,9.3925,2.1620,2.0518,-0.0536,0.0946,0.1279,normal
199488,9.4140,1.8842,1.9130,0.0115,0.0917,0.0629,normal
199512,9.5792,1.2115,1.9776,0.0314,0.1415,-0.0608,normal
199536,10.1370,0.8475,2.5211,-0.0306,0.1492,-0.0312,normal
199560,10.5297,0.7685,2.8994,-0.0770,0.0237,0.0043,normal
199584,10.5417,0.8811,2.7773,-0.1607,-0.1124,0.1132,normal
199608,10.1107,1.1325,2.5594,-0.1929,-0.1769,0.1322,normal
199632,9.8450,1.3455,2.5019,-0.1391,-0.1564,0.0512,normal
199656,9.7372,1.1205,2.5187,-0.1186,-0.1458,0.0394,normal
199680,9.2033,1.2881,2.1261,-0.1311,-0.0602,0.0000,normal
199704,9.6007,1.5395,2.2386,-0.0983,0.0719,0.0109,normal
199728,9.7157,1.2210,2.3367,-0.1146,0.1047,0.0850,normal
199752,9.4068,1.1277,2.1284,-0.1223,0.1215,-0.0149,normal
199776,9.3206,2.2194,2.3439,-0.0450,0.2164,-0.0714,normal
199800,9.7300,0.4645,2.0399,0.0093,0.2667,-0.0413,normal
199824,9.0190,0.7638,2.6217,-0.2150,0.3134,-0.0245,normal
199848,8.2648,2.2146,2.4301,-0.0717,0.3555,-0.0703,normal
199872,8.4420,1.3216,2.2769,0.0677,0.4906,-0.2721,normal
199896,10.5896,0.8547,2.4277,-0.0077,0.3786,-0.2324,normal
199920,9.6175,1.5658,1.5634,-0.0797,0.1815,-0.2318,normal
199944,9.1818,1.1564,1.8747,-0.1545,-0.0544,-0.1964,normal
199968,8.5066,1.0487,1.9106,-0.1370,-0.1066,-0.0983,normal
199992,8.7532,0.9960,2.2697,-0.2132,-0.0541,0.0208,normal
200016,9.0453,1.8052,2.9353,-0.2491,-0.0381,0.1375,normal
200040,9.3565,1.3623,3.2250,-0.1108,-0.0829,0.1591,normal
200064,10.2041,0.9337,3.1867,-0.1519,-0.1961,0.2092,normal
200088,10.4004,1.2881,3.0358,-0.2867,-0.3861,0.3206,normal
200112,9.9695,1.5179,2.1931,-0.2912,-0.5598,0.2899,normal
200136,9.0788,1.3599,1.7717,-0.2046,-0.4487,0.1375,normal
200160,9.8737,1.0463,2.1165,-0.1543,-0.2398,0.0586,normal
200184,10.7021,0.6201,2.6456,-0.1458,-0.3160,0.0914,normal
200208,10.5824,0.5507,2.3511,-0.2284,-0.4375,0.1178,normal
200232,10.0006,1.0104,2.0614,-0.2510,-0.4458,0.1529,normal
200256,9.6486,1.0918,2.1787,-0.2835,-0.3997,0.1679,normal
200280,9.0668,0.9122,1.5203,-0.2649,-0.2979,0.1908,normal
200304,8.4874,0.7374,1.0056,-0.2729,0.0179,0.2537,normal
200328,8.2744,0.6225,1.0750,-0.2358,0.2745,0.2324,normal
200352,8.1139,0.8978,1.8555,-0.1242,0.4871,0.1194,normal
200376,8.7460,0.9744,2.0853,-0.0112,0.5534,0.0733,normal
200400,9.4236,1.1372,1.9441,0.0642,0.6286,0.1943,normal
200424,10.2304,0.4357,2.5163,0.0035,0.6193,0.3539,normal
200448,10.9080,0.8045,3.0478,-0.0360,0.3645,0.2872,normal
200472,10.4148,0.6847,2.7198,0.0107,0.0954,0.1551,normal
200496,10.3765,0.3903,2.5522,-0.0107,0.0232,0.0663,normal
200520,10.5967,0.4884,2.5067,-0.0783,-0.0648,-0.0083,normal
200544,10.3860,0.6847,2.3415,-0.1250,-0.1844,-0.0242,normal
200568,10.5321,0.3160,2.1715,-0.1330,-0.2771,-0.0309,normal
200592,10.1011,-0.0192,1.8579,-0.1407,-0.3667,-0.1705,normal
200616,9.5217,0.4812,1.8004,-0.1343,-0.2137,-0.2001,normal
200640,10.3310,0.2945,2.1907,-0.0885,-0.1804,-0.1223,normal
200664,10.8314,-0.0599,2.3822,-0.1823,-0.2771,-0.0229,normal
200688,9.9335,0.0311,2.3056,-0.2638,-0.4167,-0.0877,normal
200712,9.4715,0.9936,1.9776,-0.1545,-0.4319,-0.1700,normal
200736,9.0214,0.5986,1.9920,-0.0818,-0.3344,-0.0341,normal
200760,9.5337,0.0814,2.3415,-0.1274,-0.2294,0.1540,normal
200784,10.0533,0.0359,2.2721,-0.2070,-0.4298,0.2116,normal
200808,9.2344,0.7590,1.4222,-0.3043,-0.5585,0.2713,normal
200832,8.2097,1.3527,0.5339,-0.2281,-0.3661,0.2308,normal
200856,8.9663,1.3695,0.4621,-0.0037,-0.1335,0.1092,normal
200880,9.8138,0.4453,0.9290,0.0613,-0.1386,-0.0312,normal
200904,10.3741,0.0383,1.5706,-0.0565,-0.2132,0.0546,normal
200928,10.4244,0.5387,1.2809,-0.1460,-0.3981,0.1916,normal
200952,9.9742,0.2969,1.0726,-0.1799,-0.5380,0.1911,normal
200976,9.5912,0.4932,0.7494,-0.1775,-0.5849,0.1463,normal
201000,9.3853,0.6129,-0.4980,-0.1519,-0.3269,0.0906,normal
201024,11.3318,-0.0096,0.3735,-0.0767,0.2310,-0.0117,normal
201048,12.9550,-0.6847,2.3056,-0.1695,-0.0773,-0.2510,normal
201072,10.7093,0.2322,1.5969,-0.2300,-0.6259,-0.4895,normal
201096,8.8131,0.7973,0.2442,-0.1402,-0.6789,-0.6057,normal
201120,7.9703,0.9744,-0.7207,-0.0807,-0.3230,-0.6049,normal
201144,9.2177,1.0630,0.2203,-0.0125,0.0099,-0.5033,normal
201168,9.7372,0.2538,0.6440,-0.0043,-0.0648,-0.4154,normal
201192,8.8346,0.6369,0.0862,-0.1220,-0.1092,-0.2201,normal
201216,8.5329,1.1229,-0.2634,-0.1519,0.0837,-0.0754,normal
201240,9.2009,1.4748,0.1820,-0.1276,0.2912,0.0823,normal
201264,9.5385,0.8595,0.4956,-0.0687,0.3142,0.1684,normal
201288,9.9048,0.5363,0.7207,-0.1119,0.3126,0.1615,normal
201312,10.2975,1.0247,0.8188,-0.1434,0.3368,0.1327,normal
201336,11.1115,1.0487,1.3024,-0.0663,0.2017,0.1210,normal
201360,11.0445,0.5866,1.1349,-0.0658,-0.0485,0.0496,normal
201384,10.9439,0.3663,0.8236,-0.1311,-0.2150,0.0290,normal
201408,10.7236,0.6512,0.5555,-0.1825,-0.3741,-0.0216,normal
