timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
100612,9.9096,0.6536,0.4214,-0.0831,0.0293,-0.0051,seizure
100636,9.9192,0.6536,0.3974,-0.0837,0.0290,-0.0059,seizure
100660,9.9383,0.6560,0.4357,-0.0834,0.0293,-0.0051,seizure
100684,9.9240,0.6728,0.4334,-0.0831,0.0296,-0.0048,seizure
100708,9.9431,0.6943,0.4453,-0.0839,0.0293,-0.0053,seizure
100732,9.9072,0.6823,0.4070,-0.0826,0.0282,-0.0053,seizure
100756,9.9359,0.6560,0.3926,-0.0839,0.0293,-0.0040,seizure
100780,9.9431,0.6680,0.3687,-0.0834,0.0288,-0.0048,seizure
100804,9.9168,0.6560,0.4429,-0.0831,0.0285,-0.0043,seizure
100828,9.9144,0.6871,0.4477,-0.0834,0.0290,-0.0053,seizure
100852,9.9144,0.6776,0.4262,-0.0837,0.0290,-0.0043,seizure
100876,9.9527,0.6704,0.3926,-0.0842,0.0285,-0.0051,seizure
100900,9.9288,0.6584,0.3879,-0.0831,0.0282,-0.0051,seizure
100924,9.9383,0.6560,0.4094,-0.0842,0.0285,-0.0051,seizure
100948,9.9431,0.6895,0.4645,-0.0842,0.0293,-0.0053,seizure
100972,9.9168,0.7015,0.4525,-0.0829,0.0298,-0.0051,seizure
100996,9.9240,0.6895,0.4214,-0.0831,0.0288,-0.0045,seizure
101020,9.9551,0.6632,0.4094,-0.0831,0.0288,-0.0056,seizure
101044,9.9168,0.6656,0.4286,-0.0829,0.0290,-0.0053,seizure
101068,9.9288,0.6752,0.4190,-0.0837,0.0296,-0.0048,seizure
101092,9.9120,0.6632,0.4357,-0.0834,0.0290,-0.0064,seizure
101116,9.9311,0.6632,0.4238,-0.0834,0.0288,-0.0045,seizure
101140,9.9192,0.6704,0.4022,-0.0837,0.0290,-0.0053,seizure
101164,9.9264,0.6632,0.4381,-0.0831,0.0288,-0.0059,seizure
101188,9.9216,0.6776,0.4070,-0.0837,0.0288,-0.0061,seizure
101212,9.9240,0.7135,0.4405,-0.0831,0.0282,-0.0053,seizure
101236,9.9383,0.6847,0.4310,-0.0834,0.0280,-0.0053,seizure
101260,9.9383,0.6800,0.4310,-0.0831,0.0298,-0.0056,seizure
101284,9.9335,0.6440,0.4070,-0.0831,0.0290,-0.0056,seizure
101308,9.9168,0.6680,0.4022,-0.0837,0.0290,-0.0056,seizure
101332,9.9072,0.6943,0.4022,-0.0829,0.0296,-0.0045,seizure
101356,9.9120,0.6871,0.4405,-0.0826,0.0285,-0.0051,seizure
101380,9.9311,0.6776,0.4214,-0.0842,0.0282,-0.0045,seizure
101404,9.9311,0.6680,0.3950,-0.0845,0.0293,-0.0045,seizure
101428,9.9311,0.6823,0.4238,-0.0837,0.0293,-0.0051,seizure
101452,9.9407,0.6704,0.4094,-0.0837,0.0288,-0.0053,seizure
101476,9.9096,0.6823,0.4070,-0.0842,0.0296,-0.0059,seizure
101500,9.9192,0.7039,0.4453,-0.0837,0.0285,-0.0051,seizure
101524,9.9311,0.6656,0.4118,-0.0837,0.0285,-0.0045,seizure
101548,9.9120,0.6488,0.4070,-0.0834,0.0290,-0.0051,seizure
101572,9.9264,0.6656,0.4286,-0.0831,0.0304,-0.0053,seizure
101596,9.9240,0.6800,0.4334,-0.0839,0.0298,-0.0059,seizure
101620,9.9120,0.6728,0.4142,-0.0837,0.0285,-0.0056,seizure
101644,9.9192,0.6632,0.4166,-0.0837,0.0285,-0.0056,seizure
101668,9.9264,0.6632,0.4286,-0.0842,0.0285,-0.0048,seizure
101692,9.9311,0.6800,0.4310,-0.0831,0.0296,-0.0053,seizure
